step,time,step time (ms)
3340,2016-02-11T00:57:22.247900,21.824836731
3350,2016-02-11T00:57:22.432329,19.1290378571
3360,2016-02-11T00:57:22.618235,22.745847702
3370,2016-02-11T00:57:22.809543,28.3479690552
3380,2016-02-11T00:57:23.014035,19.8309421539
3390,2016-02-11T00:57:23.240477,21.4149951935
3400,2016-02-11T00:57:23.456423,18.9390182495
3410,2016-02-11T00:57:23.649160,16.6819095612
3420,2016-02-11T00:57:23.840913,19.9210643768
3430,2016-02-11T00:57:24.039469,16.6869163513
3440,2016-02-11T00:57:24.255609,23.9028930664
3450,2016-02-11T00:57:24.439973,16.6161060333
3460,2016-02-11T00:57:24.636185,17.3079967499
3470,2016-02-11T00:57:24.856273,33.5600376129
3480,2016-02-11T00:57:25.060273,18.8329219818
3490,2016-02-11T00:57:25.266450,19.5801258087
3500,2016-02-11T00:57:33.103739,21.800994873
3510,2016-02-11T00:57:33.331410,20.1559066772
3520,2016-02-11T00:57:33.525344,20.3838348389
3530,2016-02-11T00:57:33.728427,16.5820121765
3540,2016-02-11T00:57:33.923201,20.32995224
3550,2016-02-11T00:57:34.137268,30.3349494934
3560,2016-02-11T00:57:34.363028,19.681930542
3570,2016-02-11T00:57:34.650973,24.4619846344
3580,2016-02-11T00:57:34.939039,25.9461402893
3590,2016-02-11T00:57:35.201589,23.1120586395
3600,2016-02-11T00:57:35.451730,24.6539115906
3610,2016-02-11T00:57:35.768894,23.6420631409
3620,2016-02-11T00:57:36.034478,32.5949192047
3630,2016-02-11T00:57:36.376797,29.4361114502
3640,2016-02-11T00:57:36.663590,26.615858078
3650,2016-02-11T00:57:36.981916,43.683052063
3660,2016-02-11T00:57:37.211275,22.0839977264
3670,2016-02-11T00:57:37.428036,16.3309574127
3680,2016-02-11T00:57:37.634559,19.9818611145
3690,2016-02-11T00:57:37.863921,37.7750396729
3700,2016-02-11T00:57:38.157481,17.5750255585
3710,2016-02-11T00:57:38.350548,21.4881896973
3720,2016-02-11T00:57:38.547470,19.8221206665
3730,2016-02-11T00:57:38.744948,19.8600292206
3740,2016-02-11T00:57:38.961589,16.4279937744
3750,2016-02-11T00:57:39.159133,17.4508094788
3760,2016-02-11T00:57:39.362039,18.5868740082
3770,2016-02-11T00:57:39.548613,20.4291343689
3780,2016-02-11T00:57:39.741803,19.7401046753
3790,2016-02-11T00:57:39.979387,21.9371318817
3800,2016-02-11T00:57:40.179754,19.150018692
3810,2016-02-11T00:57:40.372837,19.1240310669
3820,2016-02-11T00:57:40.561113,16.5719985962
3830,2016-02-11T00:57:40.748879,17.9860591888
3840,2016-02-11T00:57:40.943463,17.2698497772
3850,2016-02-11T00:57:41.774201,19.5209980011
3860,2016-02-11T00:57:41.995791,23.4520435333
3870,2016-02-11T00:57:42.190661,16.674041748
3880,2016-02-11T00:57:42.440356,31.0900211334
3890,2016-02-11T00:57:42.675035,24.9440670013
3900,2016-02-11T00:57:42.941464,24.9781608582
3910,2016-02-11T00:57:43.146982,16.3288116455
3920,2016-02-11T00:57:43.346982,26.1790752411
3930,2016-02-11T00:57:43.575014,20.9271907806
3940,2016-02-11T00:57:43.905138,20.99609375
3950,2016-02-11T00:57:44.097760,16.5321826935
3960,2016-02-11T00:57:44.288455,19.5319652557
3970,2016-02-11T00:57:44.470674,17.2650814056
3980,2016-02-11T00:57:44.658777,17.5230503082
3990,2016-02-11T00:57:44.928241,17.3020362854
4000,2016-02-11T00:57:51.177343,20.5028057098
4010,2016-02-11T00:57:51.372954,16.4239406586
4020,2016-02-11T00:57:51.579206,21.2459564209
4030,2016-02-11T00:57:51.774955,17.9569721222
4040,2016-02-11T00:57:52.007582,23.7710475922
4050,2016-02-11T00:57:52.199971,16.8030261993
4060,2016-02-11T00:57:52.394866,18.1610584259
4070,2016-02-11T00:57:52.584765,16.3350105286
4080,2016-02-11T00:57:52.771656,19.7069644928
4090,2016-02-11T00:57:53.150591,28.5959243774
4100,2016-02-11T00:57:53.414918,18.1078910828
