step,time,train logp
2890,2016-02-11T00:57:04.821905,-205.856887817
2900,2016-02-11T00:57:05.006615,-221.123718262
2910,2016-02-11T00:57:05.195892,-216.378265381
2920,2016-02-11T00:57:05.387541,-202.417709351
2930,2016-02-11T00:57:05.583098,-203.626815796
2940,2016-02-11T00:57:05.772317,-203.242462158
2950,2016-02-11T00:57:06.008504,-214.028656006
2960,2016-02-11T00:57:06.252143,-204.748062134
2970,2016-02-11T00:57:06.525271,-211.330825806
2980,2016-02-11T00:57:06.862086,-203.230102539
2990,2016-02-11T00:57:07.052435,-216.148880005
3000,2016-02-11T00:57:14.467403,-197.63432312
3010,2016-02-11T00:57:14.670561,-195.226638794
3020,2016-02-11T00:57:14.880820,-205.837936401
3030,2016-02-11T00:57:15.065881,-203.370422363
3040,2016-02-11T00:57:15.255024,-205.429779053
3050,2016-02-11T00:57:15.448308,-204.319564819
3060,2016-02-11T00:57:15.640099,-203.103363037
3070,2016-02-11T00:57:15.846662,-206.353729248
3080,2016-02-11T00:57:16.033815,-202.427246094
3090,2016-02-11T00:57:16.293632,-209.762969971
3100,2016-02-11T00:57:16.551032,-210.448608398
3110,2016-02-11T00:57:16.808882,-201.366088867
3120,2016-02-11T00:57:17.019881,-207.700149536
3130,2016-02-11T00:57:17.208961,-207.142852783
3140,2016-02-11T00:57:17.410086,-206.900024414
3150,2016-02-11T00:57:17.609680,-206.397659302
3160,2016-02-11T00:57:17.835493,-209.871002197
3170,2016-02-11T00:57:18.028986,-203.585678101
3180,2016-02-11T00:57:18.216308,-206.163757324
3190,2016-02-11T00:57:18.418376,-210.824981689
3200,2016-02-11T00:57:18.606222,-210.446273804
3210,2016-02-11T00:57:18.791433,-205.37260437
3220,2016-02-11T00:57:18.988015,-209.820617676
3230,2016-02-11T00:57:19.185564,-210.031112671
3240,2016-02-11T00:57:19.382593,-203.491653442
3250,2016-02-11T00:57:19.576927,-206.48777771
3260,2016-02-11T00:57:19.767483,-212.799240112
3270,2016-02-11T00:57:20.006619,-202.848236084
3280,2016-02-11T00:57:20.199028,-205.813766479
3290,2016-02-11T00:57:20.390849,-211.886322021
3300,2016-02-11T00:57:21.266163,-202.05921936
3310,2016-02-11T00:57:21.564822,-205.970291138
3320,2016-02-11T00:57:21.846447,-203.874984741
3330,2016-02-11T00:57:22.052714,-208.057754517
3340,2016-02-11T00:57:22.247864,-196.655151367
3350,2016-02-11T00:57:22.432301,-214.889556885
3360,2016-02-11T00:57:22.618191,-215.35093689
3370,2016-02-11T00:57:22.809503,-203.799514771
3380,2016-02-11T00:57:23.013970,-206.87449646
3390,2016-02-11T00:57:23.240443,-209.069595337
3400,2016-02-11T00:57:23.456381,-209.440338135
3410,2016-02-11T00:57:23.649133,-213.67098999
3420,2016-02-11T00:57:23.840879,-208.867538452
